Type,Indicator
Domain,securemobile1[.]com
Domain,mobile1[.]com
Domain,smtp3101[.]com
Domain,securephone1[.]com
Domain,smtp4414[.]com
Domain,smtp4417[.]com
Domain,smtp4431[.]com
Domain,smtp4924[.]com
Domain,smtp4418[.]com
Domain,smtp05[.]com
Domain,smtp3100[.]com
Domain,smtp0774[.]com
Domain,esmtp302[.]com
Domain,smtp023[.]com
Domain,smtp4416[.]com
Domain,smtp1414[.]com
Domain,smtp3908[.]com
Domain,smtp68[.]com
Domain,smtp4404[.]com
Domain,smtp4405[.]com
Domain,smtp442[.]com
Domain,smtp08[.]com
Domain,smtp09[.]com
Domain,smtp4420[.]com
Domain,smtp3906[.]com
Domain,smtp4426[.]com
Domain,smtp392[.]com
Domain,smtp415[.]com
Domain,smtp4432[.]com
Domain,smtp397[.]com
Domain,smtp4316[.]com
Domain,esmtp302[.]com
Domain,smtp0019[.]com
Domain,smtp3907[.]com
Domain,smtp4490[.]com
Domain,smtp3211[.]com
Domain,mailsmartphone[.]com
Domain,smtp4703[.]com
Domain,smtp4405[.]com
Domain,smtp0134[.]com
Domain,smtp393[.]com
Domain,smtp4427[.]com
Domain,smtp4419[.]com
Domain,smtp3308[.]com
Domain,smtp0044[.]com
Domain,smtp8109[.]com
Domain,smtp8109[.]com
Domain,smtp4402[.]com
Domain,smtp0633[.]com
